Feature,AM1,AM2,AM3,FM3,FM4,FM5
0610007L01Rik,1092,1156,1192,880,808,851
0610007P08Rik,476,388,452,549,450,655
0610007P14Rik,419,489,395,525,540,491
0610007P22Rik,365,378,321,502,486,389
0610009B22Rik,233,242,244,248,217,209
0610009D07Rik,449,422,408,676,723,842
0610009L18Rik,46,46,59,53,58,60
0610009O20Rik,656,758,642,710,660,641
0610010F05Rik,1107,1021,866,2482,2218,3036
0610010K06Rik,0,0,0,0,0,0
0610010K14Rik,354,450,407,1081,925,749
0610010O12Rik,0,0,0,0,0,0
0610011F06Rik,317,388,380,260,224,199
0610011L14Rik,697,725,732,637,632,648
0610012H03Rik,0,0,0,0,0,0
0610030E20Rik,202,208,224,360,317,329
0610031J06Rik,637,617,676,348,327,241
0610037L13Rik,892,897,1010,940,922,848
0610037P05Rik,551,535,572,627,634,636
0610039K10Rik,44,30,27,8,6,13
0610040B10Rik,4,0,6,3,5,4
0610040J01Rik,75,115,112,18,25,10
0910001L09Rik,512,717,689,571,613,538
1.3000001-3776472.1,1,1,1,1,0,0
1.58030135-58280699.1,1,1,2,3,3,3
10.113745972-114224148.1,1,0,0,0,0,0
10.86263323-86547784.1,1,2,0,0,1,0
1100001G20Rik,0,1,0,0,0,2
1110001A16Rik,151,129,114,95,127,87
1110002B05Rik,308,340,325,616,495,551
1110002L01Rik,60,68,71,116,90,106
1110002N22Rik,87,68,82,109,106,113
1110003E01Rik,2780,2596,2632,1763,1722,1756
1110003O08Rik,264,270,349,133,158,143
1110004E09Rik,553,526,501,453,423,329
1110004F10Rik,1707,1757,1608,2974,2819,2624
1110005A03Rik,196,177,203,297,352,363
1110006G14Rik,2,4,2,1,0,0
1110007A13Rik,574,554,531,1711,1497,1750
1110007C09Rik,114,167,100,70,62,45
1110008E08Rik,4,2,1,0,0,0
1110008F13Rik,352,450,429,464,482,430
1110008J03Rik,394,437,377,306,273,269
1110008L16Rik,125,104,140,241,212,266
1110008P14Rik,1702,1839,1926,307,355,269
1110012D08Rik,121,164,136,216,193,158
1110012J17Rik,2411,3297,2898,2159,1926,1833
1110012L19Rik,126,150,142,215,250,214
1110014N23Rik,999,1101,1011,910,933,879
1110015M06Rik,0,5,1,0,0,0
1110017D15Rik,27,36,53,45,38,38
1110018G07Rik,3781,3716,4002,2895,2827,3044
1110018J18Rik,95,91,84,35,25,31
1110020C17Rik,4,1,1,1,2,1
1110020G09Rik,1199,1145,1139,679,557,626
1110021J02Rik,180,239,279,316,297,320
1110021L09Rik,333,328,313,381,336,357
1110028C15Rik,255,222,229,504,450,614
1110031I02Rik,136,139,109,96,85,79
1110032A03Rik,423,468,494,231,259,250
1110032A04Rik,72,55,61,2,1,4
1110032A13Rik,586,632,520,447,422,416
1110032F04Rik,364,223,358,98,74,95
1110034A24Rik,275,335,285,322,282,298
1110034B05Rik,0,0,0,0,0,0
1110034G24Rik,106,92,144,126,121,100
1110036O03Rik,235,261,191,130,146,136
1110037F02Rik,1145,1081,1102,1844,1641,1870
1110038D17Rik,279,330,333,498,432,442
1110038F14Rik,261,261,259,395,382,373
1110049F12Rik,1311,1388,1250,443,469,411
1110051M20Rik,1415,1416,1465,1112,1212,1323
1110054O05Rik,458,400,412,893,744,819
1110057K04Rik,647,674,646,712,781,810
1110057P08Rik,0,0,0,0,0,0
1110058L19Rik,183,181,197,169,119,152
1110059E24Rik,301,290,296,318,298,273
1110059G10Rik,216,160,165,182,174,215
1110059M19Rik,24,23,18,0,1,0
1110067D22Rik,1728,1309,1453,1147,1099,1413
1190002A17Rik,45,38,39,7,4,5
1190002H23Rik,223,224,193,122,112,115
1190002N15Rik,1066,664,892,451,343,456
1190003J15Rik,9,9,20,1,0,1
1190005F20Rik,538,603,526,612,571,576
1190005I06Rik,116,139,106,83,111,81
1190007I07Rik,96,84,90,94,72,81
1200009I06Rik,20,42,22,9,8,6
1200009O22Rik,606,942,659,116,123,138
1200011I18Rik,1122,975,958,976,959,1028
1200011M11Rik,352,347,341,509,442,456
1200014J11Rik,390,466,399,797,647,741
1200016B10Rik,181,205,136,223,179,208
1300001I01Rik,2390,2460,2506,1276,1259,1209
1300002K09Rik,1,1,1,64,61,49
1300003B13Rik,374,258,264,740,637,843
1300010F03Rik,1217,1290,1314,422,377,428
1300014I06Rik,102,127,93,96,79,74
1300017J02Rik,3,2,3,3,6,7
1300018I17Rik,999,1151,1003,1200,1136,1102
1300018J18Rik,290,316,302,383,351,333
1500001M20Rik,143,128,146,314,268,296
1500002C15Rik,20,31,17,21,19,27
1500002O20Rik,641,815,751,722,722,634
1500003O03Rik,2620,2345,2629,1192,1071,1063
1500009C09Rik,1782,2131,1770,856,883,847
1500010J02Rik,689,756,684,2052,1880,1976
1500011H22Rik,487,525,480,512,423,429
1500012F01Rik,0,0,0,0,0,0
1500015L24Rik,12,1,12,0,0,0
1500015O10Rik,167,173,160,50,33,35
1500031L02Rik,1090,1063,1033,394,465,513
1500032L24Rik,1691,2080,1967,1287,1272,1079
1500035H01Rik,642,655,759,1294,1260,1218
1500035N22Rik,21,28,14,90,90,93
1520401A03Rik,5,1,5,0,1,1
1520402A15Rik,576,573,615,95,123,133
1600002H07Rik,156,141,152,264,236,220
1600002K03Rik,41,58,64,102,102,75
1600012F09Rik,301,299,244,428,357,442
1600012H06Rik,354,311,320,415,410,412
1600012P17Rik,1,0,1,2,3,11
1600014C10Rik,100,116,92,45,52,41
1600014C23Rik,1,1,3,0,1,0
1600014K23Rik,0,0,0,0,0,0
1600015I10Rik,0,0,0,0,1,0
1600016N20Rik,1,2,1,34,14,16
1600021P15Rik,904,823,832,789,924,872
1600027N09Rik,355,396,399,924,824,734
1600029D21Rik,8,6,6,7,7,7
1600029I14Rik,5,5,6,0,0,0
1700001C02Rik,6,5,5,1,0,0
1700001C19Rik,3,1,1,5,2,2
1700001E04Rik,7,14,11,31,23,60
1700001F09Rik,0,0,0,0,0,0
1700001G17Rik,10,10,6,23,30,17
1700001J03Rik,3,3,3,3,5,1
1700001K19Rik,19,19,26,50,55,56
1700001K23Rik,5,4,4,1,2,4
1700001L05Rik,67,66,58,9,9,6
1700001L19Rik,217,287,272,30,43,36
1700001O22Rik,72,74,81,19,14,19
1700001P01Rik,5,5,7,17,10,11
1700003E16Rik,503,567,446,77,97,63
1700003F12Rik,23,39,23,15,17,12
1700003H04Rik,0,0,0,0,0,0
1700003M02Rik,53,51,37,10,6,8
1700003O11Rik,0,1,0,0,0,1
1700006A11Rik,0,0,0,0,0,0
1700006E09Rik,0,0,0,0,0,0
1700007B14Rik,2,0,1,3,1,0
1700007E06Rik,3,0,1,0,0,0
1700007G11Rik,5,5,16,3,1,1
1700007I08Rik,48,69,64,21,32,20
1700007K09Rik,4,2,4,6,5,2
1700007K13Rik,32,48,34,5,3,2
1700008A04Rik,0,0,0,0,0,0
1700008F21Rik,13,5,10,4,1,4
1700008I05Rik,0,1,0,0,0,0
1700008O03Rik,245,217,165,65,82,52
1700008P02Rik,0,0,0,0,0,0
1700008P20Rik,0,1,0,0,0,0
1700009N14Rik,0,0,0,0,0,0
1700009P17Rik,28,46,20,4,6,4
1700010B08Rik,0,0,0,1,0,0
1700010D01Rik,0,0,2,0,0,0
1700010H22Rik,0,0,0,0,4,5
1700010I14Rik,30,21,17,22,18,21
1700010L04Rik,0,0,3,1,0,2
1700010L13Rik,0,3,0,1,0,2
1700010M22Rik,0,0,0,0,0,0
1700011A15Rik,0,0,0,0,0,0
1700011E24Rik,3,1,1,2,0,2
1700011F03Rik,0,0,0,0,0,0
1700011F14Rik,1,1,1,0,0,0
1700011H14Rik,0,2,2,2,1,3
1700011H22Rik,0,0,0,0,0,0
1700011I03Rik,1,0,3,0,2,0
1700011L22Rik,1,0,0,0,1,1
1700012A03Rik,0,0,0,0,0,0
1700012A16Rik,53,38,41,26,30,39
1700012B07Rik,0,0,0,0,0,0
1700012B09Rik,5,7,6,1,1,0
1700012L04Rik,0,0,1,0,0,0
1700012P22Rik,0,0,0,0,0,0
1700013D24Rik,0,0,0,0,0,0
1700013F07Rik,17,23,26,11,6,4
1700013G24Rik,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,0,0
1700013N18Rik,1,0,1,2,1,1
1700014B07Rik,0,1,0,1,0,1
1700014D04Rik,19,25,22,10,3,4
1700014N06Rik,0,0,0,0,0,0
1700015E13Rik,8,6,8,25,17,17
1700016A09Rik,4,9,4,8,4,8
1700016C15Rik,2,1,0,0,2,0
1700016D06Rik,0,0,0,0,2,2
1700016H13Rik,0,0,1,1,6,4
1700016K19Rik,60,66,38,7,11,8
1700016M24Rik,0,0,5,0,0,0
1700017D01Rik,0,0,0,0,0,0
1700017G19Rik,0,0,0,0,0,0
1700017N19Rik,0,2,0,0,0,0
1700018A14Rik,0,0,1,5,2,5
1700018B08Rik,0,0,0,2,1,0
1700018B24Rik,0,0,0,0,0,0
1700018C11Rik,0,1,1,0,0,0
1700018F24Rik,0,0,0,0,0,0
1700018L24Rik,1,2,0,11,12,10
1700019A02Rik,1,0,1,1,1,3
1700019B03Rik,0,1,5,2,7,2
1700019D03Rik,347,290,350,33,38,52
1700019E19Rik,126,172,179,310,219,191
1700019G06Rik,0,0,0,0,0,0
1700019G17Rik,236,266,228,116,92,102
1700019L03Rik,40,42,46,38,41,21
1700019M22Rik,0,0,0,0,0,0
1700019N12Rik,106,144,144,10,16,3
1700019N19Rik,3,3,4,1,0,0
1700019O17Rik,0,0,0,0,1,0
1700020A23Rik,20,14,14,45,39,33
1700020C07Rik,0,2,0,2,1,0
1700020C11Rik,1264,1293,1296,83,99,79
1700020L24Rik,8,17,16,11,12,7
1700020N01Rik,0,0,0,0,0,0
1700020N15Rik,0,0,0,0,0,1
1700020O03Rik,773,810,749,1016,1008,1048
1700021A07Rik,0,0,0,0,0,0
1700021C14Rik,48,35,30,47,49,37
1700021F05Rik,408,415,439,435,460,419
1700021F07Rik,0,1,0,0,0,0
1700021K19Rik,1960,2151,2083,1985,1951,1904
1700021O21Rik,0,1,1,0,0,0
1700021P04Rik,0,0,0,0,0,0
1700022C21Rik,63,47,45,31,28,26
1700022I11Rik,20,17,30,43,40,41
1700023A16Rik,2,0,0,0,0,0
1700023E05Rik,0,3,8,6,2,5
1700023F06Rik,39,45,17,13,16,11
1700023I07Rik,0,0,0,0,0,0
1700024B05Rik,0,0,0,0,0,0
1700024G13Rik,6,6,5,0,0,0
1700024P04Rik,0,0,0,0,0,0
1700024P16Rik,40,14,26,4,16,10
1700025E21Rik,1,3,0,1,0,1
1700025F22Rik,0,0,0,0,0,0
1700025G04Rik,1005,1130,942,1173,1077,1118
1700025H01Rik,0,0,0,0,0,0
1700025K23Rik,231,200,222,146,171,188
1700026D08Rik,19,34,18,1,6,0
1700026J04Rik,9,12,4,2,2,3
1700026L06Rik,5,6,2,0,0,0
1700027A23Rik,18,23,8,0,1,1
1700027D21Rik,1,2,0,2,1,1
1700028I16Rik,0,0,0,0,0,1
1700028J19Rik,22,23,19,3,10,10
1700028K03Rik,83,78,114,101,112,156
1700028P14Rik,19,13,12,2,2,3
1700029F09Rik,46,50,54,166,126,133
1700029F12Rik,0,0,0,0,0,0
1700029G01Rik,44,35,26,12,8,11
1700029H14Rik,0,1,0,0,0,0
1700029I01Rik,160,112,138,203,151,251
1700029I15Rik,63,59,75,80,88,69
1700029J07Rik,100,114,128,116,107,127
1700029J11Rik,0,1,1,8,11,2
1700029P11Rik,0,0,0,0,0,1
1700030C10Rik,4,8,2,7,3,9
1700030F18Rik,1,0,2,0,0,0
1700030J22Rik,134,183,132,77,96,79
1700030K09Rik,175,175,191,406,418,417
1700031F05Rik,0,0,0,0,0,0
1700034E13Rik,0,0,0,0,0,0
1700034F02Rik,4,0,4,6,2,5
1700034H14Rik,169,160,139,286,297,328
1700034H15Rik,63,66,72,45,50,44
1700034I23Rik,2,1,2,1,2,2
1700034J04Rik,0,0,0,0,0,0
1700034J05Rik,1,2,0,0,0,0
1700034O15Rik,0,0,0,0,0,0
1700036A12Rik,1,0,0,0,0,0
1700037C18Rik,102,116,87,78,80,59
1700037H04Rik,933,1272,1115,759,792,665
1700038P13Rik,1,1,2,0,0,0
1700039E15Rik,0,1,0,0,0,0
1700040F15Rik,0,0,0,0,0,0
1700040F17Rik,0,0,0,0,0,0
1700040I03Rik,265,330,350,165,121,133
1700040L02Rik,28,37,24,0,1,1
1700041B01Rik,4,7,14,5,3,2
1700041G16Rik,3,4,3,0,2,0
1700042B14Rik,0,1,1,0,0,0
1700045I11Rik,5,0,2,1,2,0
1700047G07Rik,0,0,0,0,0,0
1700047I17Rik1,572,1462,545,733,856,803
1700047I17Rik2,579,1484,543,733,856,808
1700048O20Rik,97,218,121,220,260,197
1700049G17Rik,254,216,239,469,385,516
1700049J03Rik,1,1,2,0,1,0
1700049L16Rik,0,0,0,6,1,3
1700052N19Rik,479,402,554,300,247,246
1700054N08Rik,1110,1006,1284,258,292,268
1700054O13Rik,0,0,0,0,0,0
1700054O19Rik,0,0,0,0,1,0
1700055D18Rik,6,5,6,9,8,4
1700055N04Rik,0,5,8,1,0,0
1700056E22Rik,1,6,0,1,1,4
1700057G04Rik,0,0,0,0,0,0
1700057K13Rik,2,2,1,1,3,1
1700058C13Rik,0,0,0,0,0,0
1700061G19Rik,12,10,15,29,31,29
1700061I17Rik,0,0,0,0,0,0
1700061J05Rik,0,0,0,1,1,0
1700063H04Rik,0,0,0,1,1,0
1700065I17Rik,0,0,0,0,1,1
1700066B19Rik,2,1,1,1,0,2
1700066M21Rik,275,212,215,191,168,246
1700067K01Rik,11,15,11,13,12,14
1700067P10Rik,0,0,2,0,0,0
1700069B07Rik,25,27,26,7,9,10
1700069L16Rik,0,1,0,0,0,2
1700072E05Rik,0,0,0,0,0,0
1700074P13Rik,0,0,0,0,0,0
1700080E11Rik,0,0,0,0,0,0
1700080G18Rik,17,15,16,5,4,5
1700080O16Rik,0,0,0,0,0,0
1700081L11Rik,2132,2009,2087,2982,2633,2957
1700084C01Rik,191,197,162,33,20,18
1700086D15Rik,4,2,0,3,1,3
1700086L19Rik,315,298,237,84,107,127
1700088E04Rik,31,28,28,9,12,11
1700090G07Rik,0,0,0,0,1,0
1700093K21Rik,8,0,1,16,21,25
1700094C09Rik,0,0,0,0,0,0
1700094D03Rik,51,79,69,131,111,127
1700101E01Rik,8,13,3,6,3,2
1700101G07Rik,0,0,0,0,0,0
1700101I19Rik,2,1,1,2,0,2
1700102P08Rik,10,21,4,47,45,49
1700104B16Rik,0,0,1,1,1,0
1700106J16Rik,1,0,0,0,1,2
1700106N22Rik,160,155,141,127,154,136
1700108M19Rik,0,0,0,0,0,0
1700109H08Rik,21,20,28,37,30,38
1700110I01Rik,55,33,16,57,67,63
1700110M21Rik,0,0,0,0,0,0
1700111E14Rik,6,1,0,4,3,6
1700112E06Rik,0,4,3,1,0,0
1700113H08Rik,0,0,0,0,0,0
1700116B05Rik,0,0,0,1,0,0
1700120B22Rik,0,3,2,6,2,4
1700120K04Rik,2,11,1,23,12,15
1700122O11Rik,0,0,0,0,0,0
1700123I01Rik,4,0,0,3,0,1
1700123K08Rik,0,0,0,1,4,0
1700123L14Rik,9,7,9,1,1,0
1700123O20Rik,220,273,271,430,418,388
1700125D06Rik,2,1,1,1,1,1
1700125H20Rik,0,1,0,0,1,5
1700128F08Rik,0,1,0,0,0,0
1700129C05Rik,0,0,0,0,0,0
1700129L04Rik,1,0,2,1,0,1
1810006K21Rik,365,379,371,874,811,648
1810008A18Rik,507,554,422,489,472,357
1810009A15Rik,206,203,162,219,182,197
1810009J06Rik,0,0,0,0,0,0
1810011O10Rik,7,7,4,16,14,8
1810012P15Rik,0,0,0,0,0,0
1810013L24Rik,777,910,655,768,644,760
1810014F10Rik,333,334,335,30,36,30
1810019J16Rik,10,2,4,7,1,0
1810020D17Rik,381,390,438,203,278,212
1810022C23Rik,22,13,14,28,12,23
1810022K09Rik,189,182,171,307,280,352
1810024B03Rik,24,15,23,18,19,14
1810026J23Rik,1390,1476,1491,1816,1701,1856
1810027O10Rik,325,387,353,284,314,310
1810029B16Rik,283,229,252,418,403,418
1810030J14Rik,0,0,0,0,0,0
1810030N24Rik,144,137,111,84,101,120
1810030O07Rik,423,406,385,583,563,647
1810031K17Rik,563,535,639,1144,1046,924
1810032O08Rik,56,33,54,196,192,153
1810033B17Rik,4,8,5,5,2,3
1810034E14Rik,7,10,4,2,1,2
1810035L17Rik,337,332,363,386,480,474
1810037I17Rik,637,701,594,397,370,320
1810041L15Rik,1619,1952,1378,884,792,854
1810043G02Rik,616,688,572,348,422,381
1810043H04Rik,188,243,210,121,123,133
1810046J19Rik,611,791,604,530,592,546
1810046K07Rik,1,1,2,0,0,0
1810048J11Rik,805,861,828,653,553,785
1810049H13Rik,64,97,84,27,32,39
1810055G02Rik,341,528,388,465,481,467
1810058N15Rik,0,0,0,0,0,0
1810062G17Rik,0,3,4,0,1,0
1810063B05Rik,200,218,193,89,101,121
1810063B07Rik,113,121,121,134,129,147
1810065E05Rik,0,0,0,0,0,0
1810074P20Rik,777,825,743,633,616,716
19.47525802-47711187.1,0,0,1,1,2,1
2.145048962-146444327.1,1,0,0,0,0,1
2010001E11Rik,1,6,3,1,1,3
2010001M09Rik,9,2,4,4,1,3
2010002M12Rik,20,23,18,4,5,7
2010002N04Rik,279,136,245,17,16,16
2010003K11Rik,0,0,0,0,0,1
2010005H15Rik,2,2,0,0,0,0
2010007H06Rik,5,3,1,0,1,0
2010007H12Rik,168,219,107,288,254,200
2010011I20Rik,732,665,645,2148,1743,1726
2010012O05Rik,152,148,156,106,111,95
2010015L04Rik,313,286,323,65,74,73
2010106E10Rik,0,0,0,0,0,0
2010106G01Rik,936,907,919,1338,1113,1445
2010107E04Rik,960,987,1016,813,902,821
2010107G12Rik,12,12,10,19,24,21
2010107G23Rik,517,629,541,875,976,836
2010107H07Rik,103,99,97,109,109,95
2010109A12Rik,1,4,2,1,2,2
2010109I03Rik,0,4,7,0,0,0
2010109K11Rik,178,171,110,220,162,212
2010110P09Rik,21,37,22,26,28,12
2010111I01Rik,387,360,542,218,217,236
2010300C02Rik,8677,6150,7782,148,196,196
2010305A19Rik,311,313,352,606,620,605
2010315B03Rik,0,0,0,0,0,0
2010317E24Rik,35,54,35,262,202,163
2010321M09Rik,340,351,359,672,594,629
2200001I15Rik,0,0,0,1,0,0
2200002D01Rik,14,5,7,11,3,3
2200002J24Rik,0,0,0,0,0,0
2200002K05Rik,249,242,251,158,144,167
2210009G21Rik,299,238,221,433,399,509
2210010C04Rik,0,0,0,0,0,0
2210010C17Rik,1,0,1,0,0,0
2210011C24Rik,7,15,5,0,0,0
2210012G02Rik,348,428,368,724,736,656
2210016F16Rik,206,231,201,198,172,204
2210016L21Rik,2141,2104,1854,1101,1192,943
2210017I01Rik,0,0,0,0,1,0
2210018M11Rik,942,917,979,1572,1344,1489
2210021J22Rik,198,216,204,113,109,109
2210023G05Rik,2,2,1,0,0,1
2210404O07Rik,15,34,17,24,26,16
2210407C18Rik,1,0,0,0,0,0
2210408I21Rik,170,186,142,245,199,234
2210411K11Rik,27,57,39,31,29,51
2210415F13Rik,0,0,0,0,0,1
2210418O10Rik,1564,1415,1477,1259,1049,1483
2300002M23Rik,0,0,0,0,0,0
2300005B03Rik,0,0,0,0,0,0
2300009A05Rik,120,114,99,107,99,105
2310001A20Rik,1030,979,1170,464,451,455
2310001H12Rik,1230,1205,1389,1756,1774,2275
2310001K24Rik,1,4,4,1,1,0
2310002J15Rik,3,0,1,0,0,0
2310002L09Rik,0,0,0,0,0,0
2310002L13Rik,0,0,0,0,0,0
2310003C23Rik,842,820,804,918,876,1010
2310003F16Rik,140,147,163,217,274,231
2310003H01Rik,231,336,198,1318,1282,1290
2310003L06Rik,2,1,1,0,1,1
2310003L22Rik,441,519,490,397,443,413
2310004I24Rik,205,193,231,222,207,251
2310004N24Rik,284,292,344,312,289,282
2310005G13Rik,6,1,0,0,1,1
2310007A19Rik,31,27,24,21,13,19
2310007B03Rik,1,1,0,0,0,0
2310007L24Rik,5,6,3,0,0,1
2310008H04Rik,58,47,60,145,120,162
2310008H09Rik,547,564,511,1386,1268,1328
2310009B15Rik,66,45,40,38,48,39
2310010M20Rik,3,1,5,1,1,0
2310011J03Rik,552,592,473,221,227,198
2310014H01Rik,177,191,193,1321,1263,1125
2310014L17Rik,19,20,16,37,32,32
2310015B20Rik,0,0,2,1,2,1
2310015D24Rik,2,2,1,0,0,1
2310016C08Rik,81,58,81,185,214,182
2310016E02Rik,0,0,0,0,0,0
2310016G11Rik,3,2,2,0,0,0
2310016M24Rik,704,965,918,603,530,477
2310021H06Rik,0,0,0,0,0,0
2310021P13Rik,3134,3372,3624,5370,4648,4790
2310022A10Rik,465,489,413,593,537,541
2310022B05Rik,1504,2142,1210,2407,2131,2077
2310028H24Rik,4623,5163,4867,2259,2185,2010
2310028O11Rik,1344,1371,1309,1285,1225,1159
2310030G06Rik,26,21,16,2,3,6
2310030N02Rik,96,118,113,121,108,117
2310033E01Rik,0,2,0,2,1,0
2310033P09Rik,225,300,265,238,250,220
2310034G01Rik,13,6,6,8,9,6
2310035C23Rik,1134,1139,1079,1237,899,1335
2310035K24Rik,275,276,291,231,214,200
2310036O22Rik,1076,1244,1116,1893,1863,1493
2310037I24Rik,840,910,865,1842,1532,1783
2310038E17Rik,0,0,0,0,0,0
2310039H08Rik,56,73,55,131,127,116
2310042D19Rik,64,70,90,243,229,226
2310042E22Rik,12,9,7,0,2,0
2310043J07Rik,0,1,2,0,0,0
2310044G17Rik,1903,1787,1801,1418,1411,1442
2310044H10Rik,3041,3563,3514,2059,1931,1747
2310046A06Rik,401,326,355,81,122,141
2310046K01Rik,30,47,32,17,10,11
2310046O06Rik,381,392,407,485,494,447
2310047B19Rik,191,199,204,197,187,205
2310047M10Rik,484,571,584,320,300,237
2310057J16Rik,497,624,432,1777,1698,1642
2310057J18Rik,0,0,0,0,0,0
2310057M21Rik,297,271,266,182,198,199
2310057N15Rik,0,0,0,0,0,0
2310061C15Rik,207,216,278,89,96,95
2310061I04Rik,767,853,757,490,597,533
2310061J03Rik,75,103,42,30,25,20
2310061N02Rik,0,0,0,0,0,0
2310067B10Rik,1605,1816,1710,1954,1485,1676
2310079F23Rik,111,114,117,155,160,159
2310079G19Rik,0,0,0,0,0,0
2310079N02Rik,318,338,321,181,202,194
2400001E08Rik,1158,1394,1341,1161,1246,904
2400003C14Rik,1383,1456,1516,2744,2464,2351
2410001C21Rik,1490,1460,1452,1260,1312,1118
2410002F23Rik,1027,1106,951,3266,3226,3180
2410002I01Rik,274,315,278,351,363,365
2410002O22Rik,1531,1459,1391,969,875,1057
2410003K15Rik,193,172,177,167,216,179
2410004A20Rik,9,6,4,1,1,0
2410004B18Rik,444,535,492,554,549,533
2410012M07Rik,0,0,0,0,0,0
2410015M20Rik,666,786,860,712,691,521
2410016O06Rik,259,318,252,260,243,257
2410017I17Rik,0,0,0,0,0,0
2410017P07Rik,80,91,80,158,147,172
2410018L13Rik,4,13,14,42,31,34
2410022L05Rik,341,424,432,374,373,304
2410022M11Rik,45,43,39,38,22,34
2410042D21Rik,189,138,165,337,276,387
2410066E13Rik,367,461,358,854,709,824
2410075B13Rik,75,77,61,80,80,77
2410076I21Rik,4,9,10,6,8,9
2410089E03Rik,1393,1373,1452,3196,2673,2952
2410091C18Rik,586,532,546,453,568,475
2410124H12Rik,1,1,0,5,1,2
2410127L17Rik,139,112,92,113,77,145
2410129H14Rik,958,686,615,683,524,783
2410131K14Rik,711,892,806,1402,1380,1254
2410137M14Rik,8,4,5,9,7,3
2410141K09Rik,0,0,0,0,0,0
2500003M10Rik,2561,2989,2686,4021,3965,3920
2510002D24Rik,206,266,286,220,229,204
2510003E04Rik,3825,3814,3737,1582,1612,1565
2510006D16Rik,1282,1475,1483,1316,1300,1160
2510009E07Rik,1583,1664,1409,1645,1550,1647
2510012J08Rik,739,1061,793,1001,953,821
2510039O18Rik,639,750,616,727,673,609
2510046G10Rik,9,4,5,12,11,14
2600006K01Rik,7,12,13,6,7,2
2610002D18Rik,4,5,1,37,15,31
2610002I17Rik,151,194,185,382,394,382
2610002J02Rik,311,342,278,588,567,539
2610002M06Rik,1507,1589,1333,945,1015,1137
2610008E11Rik,642,637,582,1595,1474,1838
2610015P09Rik,132,134,160,133,126,141
2610017I09Rik,555,587,560,1569,1596,1412
2610018G03Rik,168,110,173,23,13,24
2610019F03Rik,358,426,357,88,76,99
2610020H08Rik,24,29,30,116,77,107
2610021K21Rik,4,1,7,52,31,33
2610024G14Rik,341,384,336,479,423,465
2610027L16Rik,201,275,229,599,583,524
2610028A01Rik,111,114,105,222,251,204
2610028H24Rik,0,3,3,1,0,1
2610029G23Rik,360,396,326,487,452,447
2610029I01Rik,336,277,313,90,108,110
2610030H06Rik,1206,934,847,732,652,893
2610034B18Rik,435,452,463,230,234,207
2610034M16Rik,23,62,68,21,19,30
2610036D13Rik,447,437,466,489,476,499
2610036L11Rik,17,18,14,43,33,33
2610039C10Rik,83,90,93,226,178,190
2610042L04Rik,10,16,15,92,102,126
2610044O15Rik,417,403,428,214,239,201
2610101N10Rik,1494,1207,1089,2101,1719,2291
2610109H07Rik,30,29,35,4915,4397,4256
2610110G12Rik,748,980,700,6320,6312,6321
2610203C20Rik,69,46,36,410,353,431
2610204G22Rik,8,13,21,35,31,34
2610301B20Rik,745,707,672,367,375,381
2610301G19Rik,2069,2208,2049,4223,3981,3731
2610303G11Rik,0,0,0,0,0,0
2610305D13Rik,13,15,10,9,14,14
2610318M16Rik,0,0,0,0,0,0
2610318N02Rik,10,12,11,84,69,72
2610507B11Rik,7555,8060,7966,4066,3838,3805
2610524H06Rik,1798,1915,1796,1378,1437,1334
2610528E23Rik,163,197,188,229,243,180
2610528J11Rik,0,1,1,0,0,0
2700007P21Rik,790,725,774,693,557,645
2700029M09Rik,704,636,610,634,681,658
2700046A07Rik,20,20,24,10,5,7
2700046G09Rik,30,40,38,16,13,13
2700049A03Rik,181,146,194,716,645,715
2700050L05Rik,518,565,563,769,770,812
2700060E02Rik,481,503,476,869,848,909
2700062C07Rik,158,187,149,190,197,199
2700073G19Rik,1,1,1,4,1,3
2700078E11Rik,1012,938,819,861,824,906
2700078K21Rik,400,482,502,335,339,279
2700081O15Rik,1056,1288,1001,8898,8273,8110
2700086A05Rik,0,0,0,0,0,0
2700089E24Rik,2931,2252,2207,738,841,1012
2700094K13Rik,170,249,210,762,665,667
2700097O09Rik,179,148,160,340,307,351
2810002N01Rik,413,427,426,282,283,269
2810004N23Rik,250,273,231,405,396,368
2810006K23Rik,178,165,168,209,194,178
2810007J24Rik,0,0,0,0,0,0
2810008M24Rik,659,642,630,497,445,477
2810021B07Rik,213,169,136,280,285,332
2810021G02Rik,206,188,193,112,94,125
2810021J22Rik,259,248,242,428,403,450
2810025M15Rik,247,244,253,492,459,372
2810026P18Rik,159,153,164,854,1058,989
2810030E01Rik,294,294,260,837,680,740
2810032G03Rik,130,142,113,97,90,88
2810046L04Rik,525,500,482,1205,1033,1230
2810055F11Rik,42,33,43,72,66,71
2810055G20Rik,30,22,32,101,106,160
2810403A07Rik,635,722,774,1353,1293,1429
2810405K02Rik,1186,1238,1288,258,260,231
2810407A14Rik,0,1,0,1,4,2
2810407C02Rik,3887,3538,3641,1965,2048,2308
2810408A11Rik,7,12,5,309,253,264
2810408M09Rik,425,477,398,650,611,489
2810408P10Rik,424,366,410,490,525,547
2810416G20Rik,31,39,27,21,23,25
2810417H13Rik,20,30,25,557,365,465
2810422J05Rik,493,482,455,339,335,308
2810422O20Rik,70,58,75,68,66,67
2810428I15Rik,725,1003,722,690,694,608
2810432D09Rik,242,207,211,247,283,183
2810432L12Rik,1259,1335,1319,774,875,850
